,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
197,176,1,90,0,0,0,3,0,0,0,0,0,16,16.4,0.8,0.0,1.7,45,1,0
198,176,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
199,176,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
200,178,1,90,0,0,0,3,0,0,1,0,0,12,16.8,0.6,0.0,1.7,45,0,0
201,178,2,90,0,0,0,4,0,0,0,0,0,15,13.0,10.4,18.0,4.1,45,0,0
202,178,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
203,179,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
204,179,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
205,179,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
206,182,1,90,0,0,0,3,0,0,0,0,0,12,10.6,4.3,0.0,1.5,50,1,0
207,182,2,90,0,1,0,4,0,0,0,0,0,20,14.0,1.8,5.0,2.1,50,3,0
208,182,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
209,185,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
210,185,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
211,185,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
212,192,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
213,192,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
214,192,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
215,484,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
216,484,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
217,484,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
218,517,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
219,517,2,90,0,1,0,4,0,0,1,0,0,22,38.6,33.6,2.0,7.4,45,2,0
220,517,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
221,525,1,90,0,0,0,3,0,0,0,0,0,12,11.4,2.6,7.0,2.1,45,1,0
222,525,2,90,0,0,0,4,0,0,0,0,0,12,5.0,0.9,1.0,0.7,45,0,0
223,525,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
224,216,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
225,216,2,1,0,0,0,0,0,0,0,0,0,3,0.2,0.0,0.0,0.0,45,1,0
226,216,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
227,218,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
228,218,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
229,218,3,10,0,0,0,1,0,0,0,0,0,3,0.0,0.0,0.0,0.0,45,1,0
230,219,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
231,219,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
232,219,3,79,0,0,0,1,0,0,0,0,0,6,0.0,0.0,0.0,0.0,55,2,0
233,226,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
234,226,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
235,226,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
236,227,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
237,227,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
238,227,3,90,0,0,0,2,0,0,1,0,0,5,0.0,0.0,0.0,0.0,40,0,0
239,237,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
240,237,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
241,237,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
242,238,1,90,0,0,1,0,0,0,0,0,0,29,15.6,1.4,6.0,2.3,55,6,1
