,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
123,113,2,90,0,0,0,2,0,0,0,0,0,16,18.6,2.8,4.0,2.5,50,2,0
124,113,3,90,0,0,0,3,0,0,0,0,0,16,15.4,7.2,2.0,2.5,50,2,0
125,114,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0
126,114,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,80,0,0
127,114,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,79,0,0
128,115,1,60,0,0,0,1,0,0,0,0,0,2,0.0,1.3,0.0,0.0,60,2,0
129,115,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
130,115,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
131,119,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,0
132,119,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,0,0
133,119,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,83,0,0
134,120,1,90,0,0,0,1,0,0,0,0,0,9,13.6,28.6,9.0,5.1,70,2,0
135,120,2,90,0,0,0,2,0,0,0,0,0,10,9.6,5.6,1.0,1.6,70,2,0
136,120,3,90,1,1,0,3,0,0,0,0,2,48,50.8,52.1,81.0,18.4,69,12,1
137,122,1,10,0,0,0,0,0,0,0,0,0,3,0.8,1.3,0.0,0.2,60,1,0
138,122,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
139,122,3,45,1,0,0,0,0,0,0,0,0,25,40.6,28.6,31.0,10.0,58,6,1
140,124,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
141,124,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
142,124,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
143,500,1,79,0,0,0,1,0,0,0,0,0,8,8.4,14.8,0.0,2.3,85,2,0
144,500,2,45,0,0,0,0,0,0,0,0,0,2,1.6,0.9,0.0,0.3,85,1,0
145,500,3,90,0,1,0,3,0,0,0,0,0,20,33.2,28.9,32.0,9.4,84,5,0
146,130,1,90,0,0,1,0,0,0,0,0,0,14,11.2,10.4,6.0,2.8,55,3,0
147,130,2,90,0,0,0,1,0,0,0,0,0,11,29.6,0.8,2.0,3.2,55,2,0
148,130,3,87,0,0,0,2,0,0,1,0,0,8,17.8,12.7,2.0,3.3,55,1,0
149,131,1,73,0,0,1,0,0,0,1,0,0,5,0.0,8.8,0.0,0.9,45,2,0
150,131,2,87,0,0,0,1,0,0,0,0,0,11,19.4,1.3,0.0,2.1,45,2,0
151,131,3,90,0,0,0,2,0,0,0,0,0,16,18.2,13.9,8.0,4.0,45,2,0
152,133,1,90,0,0,1,0,0,0,0,0,0,3,12.6,0.3,17.0,3.0,50,3,0
153,133,2,90,0,0,0,1,0,0,0,0,0,14,24.6,10.0,2.0,3.7,50,2,0
154,133,3,90,1,0,0,2,0,0,0,0,2,29,46.4,0.2,42.0,8.9,50,9,1
155,137,1,90,0,1,1,0,0,0,0,0,2,26,28.4,33.7,2.0,6.4,60,8,1
156,137,2,90,1,0,0,1,0,0,0,0,2,27,39.6,20.9,40.0,10.1,60,9,1
157,137,3,90,0,1,0,2,0,0,0,0,0,20,32.8,38.3,0.0,7.1,60,5,0
158,138,1,16,0,0,0,0,0,0,0,0,0,6,6.0,28.3,0.0,3.4,60,1,0
159,138,2,2,0,0,0,0,0,0,0,0,0,5,8.2,0.2,0.0,0.8,60,1,0
160,138,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
161,141,1,90,1,0,1,0,0,0,0,0,0,18,31.6,1.4,21.0,5.4,70,8,1
162,141,2,90,2,0,0,1,0,0,0,0,3,44,71.2,42.8,57.0,17.1,70,15,1
163,141,3,90,0,0,0,2,0,0,1,0,0,-1,1.6,2.9,46.0,5.1,71,1,0
164,142,1,80,0,0,1,0,0,0,1,0,0,3,1.2,0.1,0.0,0.1,55,2,0
165,142,2,74,0,1,1,0,0,0,0,0,1,24,36.6,34.9,22.0,9.4,55,7,1
166,142,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
167,143,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
168,143,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
169,143,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
170,144,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
171,144,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
172,144,3,2,0,0,0,0,0,0,0,0,0,3,0.4,0.3,0.0,0.1,45,1,0
173,147,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
174,147,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
175,147,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
176,489,1,9,0,0,0,0,0,0,0,0,0,3,4.4,8.8,4.0,1.7,60,1,0
177,489,2,15,0,0,0,1,0,0,0,0,0,4,9.4,0.8,2.0,1.2,60,1,0
178,489,3,74,0,0,0,2,0,0,0,0,0,12,8.2,14.5,29.0,5.2,60,2,0
179,148,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
180,148,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
181,148,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
182,149,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
183,149,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
184,149,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
185,150,1,22,0,0,0,0,0,0,0,0,0,3,2.4,0.3,0.0,0.3,70,1,0
186,150,2,25,0,0,0,0,0,0,0,0,0,13,9.2,21.4,0.0,3.1,70,1,0
187,150,3,14,0,0,0,0,0,0,0,0,0,4,1.4,0.4,0.0,0.2,69,1,0
188,154,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
189,154,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
190,154,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
191,158,1,67,0,0,1,0,0,0,0,0,0,11,3.8,3.3,20.0,2.7,55,3,0
192,158,2,90,0,0,0,2,0,0,0,0,0,11,11.2,17.2,2.0,3.0,55,2,0
193,158,3,75,0,0,0,1,0,0,0,0,0,11,7.4,2.1,0.0,1.0,55,2,0
194,159,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
195,159,2,19,0,0,0,0,0,0,0,0,0,2,0.0,6.0,4.0,0.9,60,1,0
196,159,3,4,0,0,0,0,0,0,0,0,0,2,2.0,0.3,0.0,0.2,59,1,0
197,161,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
198,161,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
199,161,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
200,163,1,1,0,0,0,0,0,0,0,0,0,4,2.0,0.0,0.0,0.2,55,1,0
201,163,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
202,163,3,1,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,54,1,0
203,168,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
204,168,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
205,168,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
206,502,1,90,0,0,1,0,0,0,0,0,0,16,18.0,3.4,0.0,2.1,55,3,0
207,502,2,90,0,0,0,2,0,0,0,0,0,13,18.0,6.0,7.0,3.1,55,2,0
208,502,3,90,0,0,0,1,0,0,0,0,0,9,18.4,11.0,1.0,3.0,55,2,0
209,508,1,90,0,0,1,0,0,0,0,0,0,16,17.0,58.6,23.0,9.9,75,3,0
210,508,2,77,1,1,0,2,0,0,0,0,2,42,57.0,39.7,9.0,10.6,75,12,1
211,508,3,85,0,0,0,1,0,0,0,0,0,16,14.4,41.7,25.0,8.1,76,2,0
212,512,1,90,0,0,1,0,0,0,0,0,0,20,20.4,44.6,4.0,6.9,55,3,0
213,512,2,64,0,0,0,2,0,0,1,0,0,13,6.4,2.7,0.0,0.9,55,1,0
214,512,3,90,0,0,0,1,0,0,0,0,0,12,14.6,4.7,33.0,5.2,55,2,0
215,172,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
216,172,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
217,172,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
218,174,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
219,174,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
220,174,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
221,175,1,90,0,0,0,3,0,0,1,0,0,11,7.0,10.2,0.0,1.7,55,1,0
222,175,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
223,175,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
224,177,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
225,177,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
226,177,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,0,0
227,180,1,62,0,0,0,3,0,0,0,0,0,7,1.0,2.7,18.0,2.2,50,2,0
228,180,2,32,0,0,0,0,0,0,0,0,0,-1,0.0,0.5,4.0,0.2,50,1,0
229,180,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
230,187,1,90,0,0,0,3,0,0,0,0,0,10,7.4,26.4,0.0,3.4,55,2,0
231,187,2,90,0,0,0,4,0,0,0,0,0,11,10.8,29.3,0.0,4.0,55,2,0
232,187,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
233,188,1,74,0,0,0,3,0,0,0,0,0,3,8.2,3.1,0.0,1.1,50,2,0
234,188,2,57,0,0,0,4,0,0,0,0,0,4,3.8,4.3,2.0,1.0,50,1,0
235,188,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
236,189,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
237,189,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
238,189,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,0,0
239,190,1,62,0,0,0,3,0,0,0,0,0,-2,0.0,1.8,5.0,0.2,50,2,0
240,190,2,57,0,0,0,4,0,0,0,0,0,3,0.6,2.0,2.0,0.5,50,1,0
241,190,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
242,191,1,27,0,0,0,0,0,0,0,0,0,4,14.4,11.8,0.0,2.6,45,1,0
243,191,2,90,0,1,0,4,0,0,0,0,0,30,43.4,34.1,8.0,8.6,45,5,0
244,191,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
245,373,1,90,0,0,0,3,0,0,0,0,0,14,12.6,4.5,0.0,1.7,45,2,0
246,373,2,69,0,0,0,4,0,0,0,0,0,17,11.0,15.1,8.0,3.4,45,2,0
247,373,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
248,493,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
249,493,2,20,0,0,0,0,0,0,0,0,0,2,2.4,0.1,0.0,0.3,45,1,0
250,493,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
251,220,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
