,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
27,78,3,73,0,0,0,2,0,0,0,0,0,2,0.0,12.1,8.0,1.9,55,2,0
28,86,2,69,0,0,0,3,0,0,1,0,0,2,3.6,11.2,13.0,2.8,60,1,0
29,86,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
30,87,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
31,87,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
32,91,2,90,1,0,0,4,0,0,0,0,0,24,37.2,1.1,44.0,8.2,65,6,1
33,91,3,90,0,0,0,1,0,0,0,0,0,2,1.2,2.8,21.0,2.5,65,2,0
34,93,2,20,0,0,0,1,0,0,0,0,0,5,4.2,10.6,36.0,5.1,50,1,0
35,93,3,90,0,0,0,1,0,0,0,0,0,5,4.2,17.5,27.0,4.9,50,2,0
36,103,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,0
37,103,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,0
38,103,3,17,0,0,0,0,0,0,0,0,0,3,0.0,1.8,6.0,0.8,69,1,0
39,117,1,90,0,1,0,1,0,0,0,0,0,10,4.8,11.7,79.0,9.6,95,5,0
40,117,2,90,0,0,0,2,0,0,0,0,0,10,12.0,12.4,11.0,3.5,95,2,0
41,117,3,90,0,0,0,3,0,0,0,0,0,5,8.4,11.3,58.0,7.8,95,2,0
42,118,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,0
43,118,2,11,0,0,0,0,0,0,0,0,0,3,5.0,0.0,17.0,2.2,74,1,0
44,118,3,90,1,0,0,3,0,0,0,0,0,23,31.6,4.2,45.0,8.1,73,6,1
45,108,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
46,108,2,9,0,0,0,0,0,0,0,0,0,1,1.4,0.0,1.0,0.2,60,1,0
47,108,3,15,0,0,0,0,0,0,0,0,0,1,0.0,0.3,2.0,0.2,59,1,0
48,132,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
49,132,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
50,132,3,8,0,0,0,0,0,0,0,0,0,3,0.0,0.0,4.0,0.4,55,1,0
51,136,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
52,136,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
53,136,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
54,140,1,90,0,0,1,0,0,0,0,0,0,-7,9.2,0.8,19.0,2.9,60,2,0
55,140,2,80,0,1,0,1,0,0,0,0,0,13,7.2,0.3,41.0,4.9,60,5,0
56,140,3,81,0,0,0,2,0,0,0,0,0,3,6.0,2.2,2.0,1.0,59,2,0
57,153,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
58,153,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
59,153,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,0
60,164,1,88,1,0,1,0,0,0,0,0,2,34,38.4,13.7,34.0,8.6,70,8,1
61,164,2,70,3,0,0,2,0,0,0,0,3,74,99.6,0.4,144.0,24.4,71,17,1
62,164,3,90,1,0,0,1,0,0,0,0,0,21,36.2,6.2,45.0,8.7,73,6,1
